sim_time,scan_min,amcl_x,amcl_y,cov_x,cov_y,gt_x,gt_y,gt_yaw,error_dist
1783921495.550,0.565,nan,nan,nan,nan,nan,nan,nan,nan
1783921496.575,0.565,nan,nan,nan,nan,nan,nan,nan,nan
1783921497.602,0.568,nan,nan,nan,nan,nan,nan,nan,nan
1783921498.622,0.595,nan,nan,nan,nan,nan,nan,nan,nan
1783921499.651,0.616,nan,nan,nan,nan,nan,nan,nan,nan
1783921500.683,0.570,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921501.705,0.569,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921502.735,0.615,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921503.774,0.596,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921504.802,0.565,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921505.834,0.600,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921506.858,0.605,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921507.895,0.565,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921508.929,0.603,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921509.958,0.602,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921510.988,0.565,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921512.013,0.605,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921513.031,0.600,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921514.057,0.565,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921515.081,0.615,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921516.115,0.586,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921517.137,0.570,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921518.164,0.616,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921519.188,0.583,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921520.216,0.572,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921521.250,0.617,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921522.273,0.581,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921523.299,0.574,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921524.326,0.616,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921525.346,0.571,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921526.373,0.585,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921527.391,0.615,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921528.423,0.569,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921529.443,0.599,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921530.464,0.614,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921531.488,0.568,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921532.512,0.590,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921533.535,0.612,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921534.556,0.567,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921535.582,0.604,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921536.608,0.601,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921537.629,0.565,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921538.654,0.606,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921539.687,0.598,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921540.716,0.566,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921541.743,0.608,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921542.770,0.606,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921543.805,0.565,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921544.828,0.601,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921545.858,0.604,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921546.887,0.565,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921547.939,0.603,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921548.963,0.591,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921549.989,0.565,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921551.008,0.595,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921552.045,0.609,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921553.069,0.566,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921554.097,0.586,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921555.122,0.614,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921556.146,0.569,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921557.174,0.589,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921558.205,0.617,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921559.227,0.568,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921560.248,0.592,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921561.270,0.611,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921562.300,0.567,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921563.329,0.594,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921564.367,0.610,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921565.396,0.566,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921566.421,0.597,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921567.445,0.607,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921568.472,0.565,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921569.498,0.609,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921570.528,0.605,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921571.550,0.565,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921572.580,0.611,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921573.610,0.592,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921574.643,0.567,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921575.685,0.613,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921576.709,0.589,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921577.734,0.565,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921578.761,0.614,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921579.784,0.598,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921580.814,0.566,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921581.842,0.609,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921582.866,0.606,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921583.895,0.565,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921584.924,0.601,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921585.958,0.603,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921586.987,0.567,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921588.014,0.593,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921589.037,0.611,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921590.062,0.566,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921591.104,0.595,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921592.123,0.615,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921593.147,0.570,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921594.171,0.587,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921595.204,0.614,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921596.234,0.575,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921597.257,0.579,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921598.281,0.617,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921599.303,0.582,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921600.324,0.567,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921601.350,0.612,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921602.378,0.591,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921603.400,0.568,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921604.433,0.614,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921605.467,0.599,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921606.498,0.566,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921607.523,0.597,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921608.544,0.607,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921609.572,0.565,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921610.609,0.610,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921611.632,0.594,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921612.653,0.567,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921613.675,0.612,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921614.703,0.591,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921615.730,0.568,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921616.755,0.617,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921617.787,0.578,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921618.813,0.576,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921619.842,0.615,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921620.864,0.586,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921621.891,0.578,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921622.916,0.617,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921623.943,0.574,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921624.964,0.580,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921625.988,0.617,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921627.015,0.572,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921628.040,0.583,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921629.071,0.616,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921630.091,0.571,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921631.120,0.585,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921632.145,0.615,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921633.173,0.569,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921634.205,0.588,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921635.231,0.614,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921636.255,0.568,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921637.282,0.601,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
1783921638.312,0.604,0.158,4.700,0.06971,0.89216,nan,nan,nan,nan
