x,y,z,success
0.4,0.0,0.02,1
0.4,0.0,0.04,1
0.4,0.0,0.06,1
0.4,0.0,0.08,1
0.4,0.0,0.1,1
0.4,0.0,0.12,1
0.4,0.0,0.14,1
0.4,0.0,0.16,1
0.4,0.0,0.18,1
0.4,0.0,0.2,1
0.4,0.05,0.02,1
0.4,0.05,0.04,1
0.4,0.05,0.06,1
0.4,0.05,0.08,1
0.4,0.05,0.1,1
0.4,0.05,0.12,1
0.4,0.05,0.14,1
0.4,0.05,0.16,1
0.4,0.05,0.18,1
0.4,0.05,0.2,0
0.3,-0.25,0.02,1
0.3,-0.25,0.04,1
0.3,-0.25,0.06,1
0.3,-0.25,0.08,1
0.3,-0.25,0.1,1
0.3,-0.25,0.12,1
0.3,-0.25,0.14,0
0.3,-0.25,0.16,0
0.3,-0.25,0.18,0
0.3,-0.25,0.2,0
0.25,0.25,0.02,1
0.25,0.25,0.04,1
0.25,0.25,0.06,1
0.25,0.25,0.08,1
0.25,0.25,0.1,1
0.25,0.25,0.12,1
0.25,0.25,0.14,1
0.25,0.25,0.16,1
0.25,0.25,0.18,0
0.25,0.25,0.2,0
